Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Chá, infusão, preto;1;0,1;0,2;0
Chá, infusão, verde;1;0,1;0,2;0
Chamuça;344;9,1;39,3;16,3
Cherne cozido;124;18,9;0;5,4
Cherne cru;132;17,9;0;6,7
Cherne grelhado;153;24,1;0;6,3
Chicharro cozido;111;21,1;0;3
Chicharro cru;105;19,7;0;2,9
Chicharro grelhado;139;26,3;0;3,7
Chicória crua;14;1;0,9;0,1
Choco cru;79;18,9;0;0,4
Choco grelhado;109;25,8;0;0,6
Chocolate culinária, tablete;502;5,4;44;30,5
Chocolate de leite, tablete;552;8;53,1;33,9
Chocolate negro (aproximadamente 50% cacau);530;5,2;52,6;31,7
Chocolate, pó;469;4,2;63,8;20,3
Chouriço de carne de porco, cru;476;20;0;44,1
Chouriço de carne de porco, gordo, cru;544;15,4;0;53,6
Chouriço de carne de porco, magro, cozido sem adição de sal;334;24,8;0;26,1
Chouriço de carne de porco, magro, cru;409;24,5;0;34,5
Chouriço de carne de porco, magro, grelhado;343;31,6;0;24,1
Chouriço de sangue cozido;263;11,2;0;24,2
Chouriço de sangue, cru;328;11;0;31,6
Chuchu;19;0,8;2,9;0,1
Chucrute;15;1,3;1,1;0,3
Clara de ovo de galinha, crua;47;11;0;0,3
Clara de ovo de galinha, pasteurizada;46;10,5;1;0
Clementina;53;0,8;11,1;0,2
Coco seco, ralado;648;5,6;6,4;62
Codorniz carne sem pele, crua;119;22,1;0;3,4
Codorniz com pele, crua;170;21,5;0;9,3
Codorniz com pele, estufada com azeite;234;25,6;0,7;13,4
Codorniz com pele, grelhada;202;24,5;0;11,6
Coelho à caçador;182;12,3;1,6;12,7
Coelho cru;117;20,3;0;4
Coelho em vinha de alhos;174;11,3;1,4;11,6
Coelho estufado;211;26,6;0,9;10,2
Coelho estufado com azeite;218;26,6;0,9;11
Coelho estufado com margarina;205;26,6;0,9;9,5
Coentros crus;28;2,4;1,8;0,6
Cogumelos enlatados, escorridos;17;2,1;0;0,4
Cogumelos fritos com óleo alimentar;163;2,4;0,3;16,2
Cogumelos marron;23;3,2;1,5;0,2
Cogumelos ostra (pleurotus);27;2,4;2,7;0,2
Cogumelos, genérico;18;1,8;0,5;0,5
Colorau;358;14,8;35;13
Cominhos;427;18;34;22
Compota de alperce;239;0,4;58,9;0
Compota de ameixa;200;0,3;49,2;0
Compota de ananás;211;0,5;50,8;0,1
Compota de cereja;251;0,4;61,9;0
Compota de laranja;242;0,4;59,5;0
Condimento de mostarda;158;5,7;18,5;6,4
Corvina cozida;95;20,7;0;1,4
Corvina crua;94;20,4;0;1,4
Couve-branca cozida;17;0,7;1,7;0,4
Couve-branca crua;28;1,4;3,5;0,4
Couve-de-Bruxelas cozida;34;1,1;3,5;1,3
Couve-de-Bruxelas crua;50;3,5;4;1,4
Couve-flor cozida;21;1,6;2;0,3
Couve-flor crua;34;3,7;3,3;0,2
Couve-galega cozida;29;2,1;2,9;0,4
Couve-galega crua;32;2,4;3,1;0,4
Couve-lombarda cozida;22;2,2;1,4;0,2
Couve-lombarda crua;26;2,4;2,1;0,2
Couve-portuguesa cozida;25;1,6;2,5;0,4
Couve-portuguesa crua;31;2,2;3,5;0,4
Couve-roxa crua;30;2;3,9;0
Cozido à portuguesa;120;6,8;6,2;7
Cozido à portuguesa com grão;259;11,7;20,5;13,5
Cravinho;431;6;52;20
Creme culinário;531;0;0;59
Creme culinário líquido, 65% gordura, com sal;588;0;0;65,3
Creme de camarão;39;3,6;1,7;1,4
Creme de camarão com natas;51;3,5;1,9;2,9
Creme de ervilhas;43;2,6;3;1,9
Creme para barrar de cacau e avelãs;545;5,9;54,7;33,3
Creme vegetal culinário, 75% gordura, sem sal;677;0,1;0,4;75
Creme vegetal de soja para barrar;444;0,2;3,7;47,6
Creme vegetal de soja para culinária (alternativa à nata);162;2,3;5,7;14,3
Creme vegetal para barrar  72% gordura, 33% ácidos gordos polinsaturados;651;0,1;0,4;72,1
Creme vegetal para barrar 35% gordura, com fitosteróis;328;0,1;3,2;35
Creme vegetal para barrar 37% gordura;343;1,4;0,2;37,4
Creme vegetal para barrar 58% gordura, com cálcio;525;0,3;0,5;58
Creme vegetal para barrar 70% gordura, 53% ácidos gordos monoinsaturados;632;0,1;0,5;70
Creme vegetal para barrar 70% gordura, com sal;632;0,1;0,3;70
Croissant;418;7,5;44,6;22,8
Croquete;316;13,2;23,1;18,8
Cubo de carne de galinha para caldo;236;15,4;9;15,4
Cubo de carne de vaca para caldo;183;19,8;8;8
Curgete crua;19;1,6;2;0,3
Curgete frita com óleo alimentar;64;2;2,5;4,8
Dióspiro;65;0,6;14,8;0
Dióspiro desidratado;353;3,3;80,8;0
Doce de alperce;233;0,5;57,4;0
Doce de cereja;262;0,2;64,9;0
Doce de framboesa;242;0,4;59,7;0
Doce de ginja;263;0,4;64,8;0
Doce de maçã;239;0,2;59;0
Doce de morango;245;0,2;60,5;0
Doce de pêssego;209;0,4;51,3;0
Donut;400;6,6;43;21,7
Donut recheado com doce de fruta;348;6;47;14,5
Dourada cozida;196;20,8;0;12,5
Dourada crua;167;19,7;0;9,8
Dourada grelhada;178;22,3;0;9,9
Éclair de chocolate;378;4,1;36,5;23,8
Empada;374;9,6;33,9;21,9
Empadão de atum;234;12,9;10,7;15,2
Empadão de bacalhau;118;6,9;10,9;5
Empadão de carne com manteiga;134;6,6;10,7;6,3
Empadão de carne com margarina;134;6,6;10,7;6,3
Empadão de carne guisada;167;9,4;10,9;9,3
Empadão de pescada e camarão;122;8,7;11;4,5
Endívia crua;19;1,8;1,2;0,4
Enguia crua;303;13,4;0;27,7
Enguia frita;267;14,8;3,2;21,6
Ervilhas secas cozidas;114;6,9;18,1;0,4
Ervilhas secas cruas;330;22,7;49,4;1,3
Ervilhas, grão, congeladas cozidas;72;5,6;7,5;0,5
Ervilhas, grão, congeladas cruas;68;5,3;7;0,5
Ervilhas, grão, frescas cozidas;72;6,2;7,9;0,7
Ervilhas, grão, frescas cruas;76;6,4;8,6;0,7
Ervilhas, grão, frescas, estufadas;113;5,1;9,6;5,1
Ervilhas, vagens cozidas;30;2,8;3,5;0,2
Ervilhas, vagens cruas;33;3,1;3,9;0,2
Espadarte cru;97;17,8;0;2,9
Espadarte grelhado;116;21,3;0;3,4
Espadarte, bife estufado com azeite e vinho;152;17,1;0,4;8,1
Espargos cozidos;16;1;2,2;0
Espargos crus;22;2,1;2,7;0
Esparguete cozido;102;3,4;19,9;0,6
Esparguete cru;360;12,1;71,1;1,9
Esparguete estufado com cenoura e azeite;121;3;17,6;3,9
Esparguete estufado com cenoura e margarina;115;3;17,6;3,2
Espinafres crus;27;2,6;0,8;0,9
Estragão fresco;55;3,4;6,3;1,1
Estragão seco;363;22,8;42,8;7,2
Faneca crua;82;19;0,1;0,6
Farelo de trigo;293;16,2;24,9;5,3
Farinha de alfarroba;368;3,2;85,6;0,3
Farinha de aveia;363;14,5;57;7,3
Farinha de centeio;370;7,8;77,3;1,2
Farinha de centeio tipo 70;364;6,6;78,5;1,1
Farinha de centeio tipo 85;375;9;76;1,3
Farinha de cevada;330;8,8;64,4;2,5
Farinha de espelta;339;14;61,8;2,3
Farinha de milho tipo 70;359;8,3;75,3;2,2
Farinha de pau (mandioca);350;1,4;84,6;0,3
Farinha de trigo (valor médio tipo 150 e tipo 55);349;8,5;73,7;1,5
Farinha de trigo com fermento;343;9,7;72,5;1,1
Farinha de trigo integral;338;9,6;65,2;2,4
Farinha de trigo tipo 150;352;9,1;73;1,8
Farinha de trigo tipo 55;344;7,8;74,3;1,1
Farinha de trigo tipo 65;341;13,6;67,6;1
"Farinha láctea 5 frutos tipo ""Cerelac"" (com farinha de trigo)";408;15;65;9
"Farinha láctea maçãs tipo ""Cerelac"" (com farinha de trigo)";412;15;66;9
"Farinha láctea tipo ""Cerelac"" (com farinha de trigo)";416;15;68;9
Farinheira cozida;404;4,8;26,4;30,7
Farinheira crua;497;4,8;26,7;41
Favada à portuguesa;130;8;8,4;5,9
Favas frescas cozidas;82;7,7;7,7;0,5
Favas frescas cruas;80;7,4;8,5;0,5
Favas secas cruas;301;25,8;32,8;1,3
Favas secas, demolhadas, cozidas;90;7,9;10,7;0,6
Feijão-verde fresco cozido;27;1,3;3,5;0,3
Feijão-verde fresco cru;32;1,9;3,8;0,3
Feijão branco, demolhado, cozido;102;6,5;14,6;0,6
Feijão branco, seco, cru;308;21,3;43,9;0,1
Feijão catarino, seco, cru;302;20,3;47,9;0,1
Feijão catarino, seco, demolhado, cozido;88;6;14,1;0
Feijão encarnado, seco, cru;310;21,5;47,9;0,5
Feijão encarnado, seco, demolhado, cozido;90;6,2;13,8;0,1
Feijão frade, seco, cru;339;21,4;55,3;1,5
Feijão frade, seco, demolhado, cozido;123;8,8;18,1;0,7
Feijão manteiga, demolhado, cozido;99;6,4;14;0,6
Feijão manteiga, seco, cru;313;24;42,6;0,1
Feijão preto, seco, cru;318;22,4;47,9;1
Feijão preto, seco, demolhado, cozido;80;6,5;8,4;0,3
Feijoa (polpa);52;0,9;9,8;0,5
Feijoada com carne de porco;187;13,6;13,3;7,2
Feijoada com carne de porco e de vaca;191;13,7;13,3;7,5
Feijoada com enchidos e ovos;240;9;14,1;15,1
Fermento em pó;156;4,7;34,4;0
Fermento fresco de padeiro;78;12,9;1;0,9
Fermento seco de padeiro;228;38,3;3,2;2,5
Fiambre de aves;83;13,8;2,7;1,6
Fiambre de porco;111;15,3;1,3;4,6
Fiambre, pá;112;14;1,3;5,1
Fiambre, peito de frango;82;13,7;2,8;1,3
Fiambre, peito de peru;85;13,8;2,6;1,9
Fiambre, perna;111;16,5;1,2;4,1
Figo (5 variedades);79;0,9;16,3;0,5
Figo cristalizado;295;0,5;71,2;0,4
Figo seco;276;2,8;58,2;1,5
Fisális;68;1,8;11,7;0,6
Flocos de arroz;379;7;83,4;1,5
Flocos de aveia;366;13,5;61,7;5,8
Flocos de centeio;352;12;69;2
"Flocos de cereais e frutos secos tipo ""Muesli""";388;10,4;69,1;6,3
Flocos de cevada;324;8,3;64,4;2
